"CapShape","CapSurface","CapColor","Bruises","Odor","GillAttachment","GillSpacing","GillSize","GillColor","StalkShape","StalkRoot","StalkSurfaceAboveRing","StalkSurfaceBelowRing","StalkColorAboveRing","StalkColorBelowRing","VeilType","VeilColor","RingNumber","RingType","SporePrintColor","Population","Habitat","Class"
"convex","smooth","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","urban","poisonous"
"convex","smooth","yellow","True","almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"bell","smooth","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows","edible"
"convex","scaly","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","urban","poisonous"
"convex","smooth","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses","edible"
"bell","smooth","white","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows","edible"
"bell","scaly","white","True","anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows","edible"
"convex","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses","poisonous"
"bell","smooth","yellow","True","almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"convex","scaly","yellow","True","anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses","edible"
"convex","scaly","yellow","True","almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows","edible"
"bell","smooth","yellow","True","almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses","edible"
"convex","scaly","white","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban","poisonous"
"convex","fibrous","brown","False","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses","edible"
"sunken","fibrous","gray","False","none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban","edible"
"flat","fibrous","white","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses","edible"
"convex","smooth","brown","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses","poisonous"
