Week,Airports,Class,Passengers
7130,ADL-PER,Business,193
7137,ADL-PER,Business,254
7144,ADL-PER,Business,185
7151,ADL-PER,Business,254
7158,ADL-PER,Business,191
7165,ADL-PER,Business,136
7172,ADL-PER,Business,0
7179,ADL-PER,Business,0
7186,ADL-PER,Business,0
7193,ADL-PER,Business,0
7200,ADL-PER,Business,0
7207,ADL-PER,Business,0
7214,ADL-PER,Business,0
7221,ADL-PER,Business,0
7228,ADL-PER,Business,0
7235,ADL-PER,Business,23
7242,ADL-PER,Business,9
7249,ADL-PER,Business,0
7256,ADL-PER,Business,0
7263,ADL-PER,Business,0
7270,ADL-PER,Business,0
7277,ADL-PER,Business,28
7284,ADL-PER,Business,163
7291,ADL-PER,Business,68
7298,ADL-PER,Business,73
7305,ADL-PER,Business,120
7312,ADL-PER,Business,105
7319,ADL-PER,Business,119
7326,ADL-PER,Business,141
7333,ADL-PER,Business,176
7340,ADL-PER,Business,192
7347,ADL-PER,Business,192
7354,ADL-PER,Business,167
7361,ADL-PER,Business,191
7368,ADL-PER,Business,172
7375,ADL-PER,Business,268
7382,ADL-PER,Business,303
7389,ADL-PER,Business,279
7396,ADL-PER,Business,162
7403,ADL-PER,Business,166
7410,ADL-PER,Business,198
7417,ADL-PER,Business,249
7424,ADL-PER,Business,219
7431,ADL-PER,Business,195
7438,ADL-PER,Business,210
7445,ADL-PER,Business,202
7452,ADL-PER,Business,205
7459,ADL-PER,Business,182
7466,ADL-PER,Business,238
7473,ADL-PER,Business,172
7480,ADL-PER,Business,174
7487,ADL-PER,Business,208
7494,ADL-PER,Business,201
7501,ADL-PER,Business,218
7508,ADL-PER,Business,244
7515,ADL-PER,Business,231
7522,ADL-PER,Business,209
7529,ADL-PER,Business,228
7536,ADL-PER,Business,214
7543,ADL-PER,Business,228
7550,ADL-PER,Business,255
7557,ADL-PER,Business,247
7564,ADL-PER,Business,127
7571,ADL-PER,Business,222
7578,ADL-PER,Business,239
7585,ADL-PER,Business,270
7592,ADL-PER,Business,261
7599,ADL-PER,Business,238
7606,ADL-PER,Business,284
7613,ADL-PER,Business,267
7620,ADL-PER,Business,317
7627,ADL-PER,Business,275
7634,ADL-PER,Business,259
7641,ADL-PER,Business,203
7648,ADL-PER,Business,138
7655,ADL-PER,Business,52
7662,ADL-PER,Business,69
7669,ADL-PER,Business,108
7676,ADL-PER,Business,168
7683,ADL-PER,Business,138
7690,ADL-PER,Business,152
7697,ADL-PER,Business,217
7704,ADL-PER,Business,225
7711,ADL-PER,Business,264
7718,ADL-PER,Business,234
7725,ADL-PER,Business,222
7732,ADL-PER,Business,237
7739,ADL-PER,Business,280
7746,ADL-PER,Business,191
7753,ADL-PER,Business,169
7760,ADL-PER,Business,261
7767,ADL-PER,Business,268
7774,ADL-PER,Business,171
7781,ADL-PER,Business,273
7788,ADL-PER,Business,314
7795,ADL-PER,Business,234
7802,ADL-PER,Business,314
7809,ADL-PER,Business,235
7816,ADL-PER,Business,251
7823,ADL-PER,Business,232
7830,ADL-PER,Business,303
7837,ADL-PER,Business,246
7844,ADL-PER,Business,234
7851,ADL-PER,Business,215
7858,ADL-PER,Business,212
7865,ADL-PER,Business,243
7872,ADL-PER,Business,224
7879,ADL-PER,Business,258
7886,ADL-PER,Business,220
7893,ADL-PER,Business,222
7900,ADL-PER,Business,211
7907,ADL-PER,Business,241
7914,ADL-PER,Business,261
7921,ADL-PER,Business,249
7928,ADL-PER,Business,257
7935,ADL-PER,Business,220
7942,ADL-PER,Business,184
7949,ADL-PER,Business,221
7956,ADL-PER,Business,223
7963,ADL-PER,Business,206
7970,ADL-PER,Business,260
7977,ADL-PER,Business,270
7984,ADL-PER,Business,250
7991,ADL-PER,Business,260
7998,ADL-PER,Business,199
8005,ADL-PER,Business,177
8012,ADL-PER,Business,195
8019,ADL-PER,Business,60
8026,ADL-PER,Business,66
8033,ADL-PER,Business,138
8040,ADL-PER,Business,173
8047,ADL-PER,Business,142
8054,ADL-PER,Business,118
8061,ADL-PER,Business,269
8068,ADL-PER,Business,296
8075,ADL-PER,Business,259
8082,ADL-PER,Business,314
8089,ADL-PER,Business,255
8096,ADL-PER,Business,282
8103,ADL-PER,Business,290
8110,ADL-PER,Business,713
8117,ADL-PER,Business,910
8124,ADL-PER,Business,1015
8131,ADL-PER,Business,844
8138,ADL-PER,Business,718
8145,ADL-PER,Business,911
8152,ADL-PER,Business,890
8159,ADL-PER,Business,933
8166,ADL-PER,Business,901
8173,ADL-PER,Business,875
8180,ADL-PER,Business,666
8187,ADL-PER,Business,624
8194,ADL-PER,Business,619
8201,ADL-PER,Business,517
8208,ADL-PER,Business,436
8215,ADL-PER,Business,424
8222,ADL-PER,Business,363
8229,ADL-PER,Business,386
8236,ADL-PER,Business,398
8243,ADL-PER,Business,394
8250,ADL-PER,Business,397
8257,ADL-PER,Business,342
8264,ADL-PER,Business,414
8271,ADL-PER,Business,406
8278,ADL-PER,Business,394
8285,ADL-PER,Business,420
8292,ADL-PER,Business,331
8299,ADL-PER,Business,338
8306,ADL-PER,Business,325
8313,ADL-PER,Business,459
8320,ADL-PER,Business,464
8327,ADL-PER,Business,388
8334,ADL-PER,Business,342
8341,ADL-PER,Business,484
8348,ADL-PER,Business,428
8355,ADL-PER,Business,404
6381,ADL-PER,Economy,2084
6388,ADL-PER,Economy,2186
6395,ADL-PER,Economy,2137
6402,ADL-PER,Economy,2090
6409,ADL-PER,Economy,1595
6416,ADL-PER,Economy,1908
6423,ADL-PER,Economy,1778
6430,ADL-PER,Economy,1931
6437,ADL-PER,Economy,2062
6444,ADL-PER,Economy,2062
6451,ADL-PER,Economy,1976
6458,ADL-PER,Economy,1743
6465,ADL-PER,Economy,2635
6472,ADL-PER,Economy,2532
6479,ADL-PER,Economy,2390
6486,ADL-PER,Economy,2620
6493,ADL-PER,Economy,2314
6500,ADL-PER,Economy,2208
6507,ADL-PER,Economy,2039
6514,ADL-PER,Economy,2392
6521,ADL-PER,Economy,2838
6528,ADL-PER,Economy,2134
6535,ADL-PER,Economy,1957
6542,ADL-PER,Economy,2152
6549,ADL-PER,Economy,2584
6556,ADL-PER,Economy,2611
6563,ADL-PER,Economy,2245
6570,ADL-PER,Economy,2753
6577,ADL-PER,Economy,2666
6584,ADL-PER,Economy,2204
6591,ADL-PER,Economy,2395
6598,ADL-PER,Economy,2241
6605,ADL-PER,Economy,1929
6612,ADL-PER,Economy,2247
6619,ADL-PER,Economy,2764
6626,ADL-PER,Economy,2001
6633,ADL-PER,Economy,2169
6640,ADL-PER,Economy,1955
6647,ADL-PER,Economy,2516
6654,ADL-PER,Economy,2353
6661,ADL-PER,Economy,2299
6668,ADL-PER,Economy,2473
6675,ADL-PER,Economy,2412
6682,ADL-PER,Economy,2231
6689,ADL-PER,Economy,2224
6696,ADL-PER,Economy,2150
6703,ADL-PER,Economy,2063
6710,ADL-PER,Economy,2014
6717,ADL-PER,Economy,1717
6724,ADL-PER,Economy,1627
6731,ADL-PER,Economy,1969
6738,ADL-PER,Economy,1958
6745,ADL-PER,Economy,2014
6752,ADL-PER,Economy,2320
6759,ADL-PER,Economy,2173
6766,ADL-PER,Economy,2152
6773,ADL-PER,Economy,1887
6780,ADL-PER,Economy,1939
6787,ADL-PER,Economy,2565
6794,ADL-PER,Economy,2247
6801,ADL-PER,Economy,2291
6808,ADL-PER,Economy,1978
6815,ADL-PER,Economy,2243
6822,ADL-PER,Economy,2299
6829,ADL-PER,Economy,2790
6836,ADL-PER,Economy,2615
6843,ADL-PER,Economy,2058
6850,ADL-PER,Economy,2631
6857,ADL-PER,Economy,2240
6864,ADL-PER,Economy,2436
6871,ADL-PER,Economy,1957
6878,ADL-PER,Economy,2244
6885,ADL-PER,Economy,2308
6892,ADL-PER,Economy,1946
6899,ADL-PER,Economy,2190
6906,ADL-PER,Economy,2220
6913,ADL-PER,Economy,2723
6920,ADL-PER,Economy,2951
6927,ADL-PER,Economy,1742
6934,ADL-PER,Economy,2453
6941,ADL-PER,Economy,2469
6948,ADL-PER,Economy,2429
6955,ADL-PER,Economy,2391
6962,ADL-PER,Economy,2054
6969,ADL-PER,Economy,2127
6976,ADL-PER,Economy,2103
6983,ADL-PER,Economy,1958
6990,ADL-PER,Economy,2234
6997,ADL-PER,Economy,2030
7004,ADL-PER,Economy,2427
7011,ADL-PER,Economy,2733
7018,ADL-PER,Economy,2599
7025,ADL-PER,Economy,2639
7032,ADL-PER,Economy,2508
7039,ADL-PER,Economy,2379
7046,ADL-PER,Economy,2262
7053,ADL-PER,Economy,2502
7060,ADL-PER,Economy,2080
7067,ADL-PER,Economy,1930
7074,ADL-PER,Economy,1696
7081,ADL-PER,Economy,2014
7088,ADL-PER,Economy,1611
